Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
ItemLevel53	100	1		53	53					1	307	item-level		53	53										char	jewl											0	0
ItemLevel54	100	1		54	54					1	307	item-level		54	54										char	jewl											0	0
ItemLevel55	100	1		55	55					1	307	item-level		55	55										char	jewl											0	0
ItemLevel56	100	1		56	56					1	307	item-level		56	56										char	jewl											0	0
ItemLevel57	100	1		57	57					1	307	item-level		57	57										char	jewl											0	0
ItemLevel58	100	1		58	58					1	307	item-level		58	58										char	jewl											0	0
ItemLevel59	100	1		59	59					1	307	item-level		59	59										char	jewl											0	0
ItemLevel60	100	1		60	60					1	307	item-level		60	60										char	jewl											0	0
ItemLevel61	100	1		61	61					1	307	item-level		61	61										char	jewl											0	0
ItemLevel62	100	1		62	62					1	307	item-level		62	62										char	jewl											0	0
ItemLevel63	100	1		63	63					1	307	item-level		63	63										char	jewl											0	0
ItemLevel64	100	1		64	64					1	307	item-level		64	64										char	jewl											0	0
ItemLevel65	100	1		65	65					1	307	item-level		65	65										char	jewl											0	0
ItemLevel66	100	1		66	66					1	307	item-level		66	66										char	jewl											0	0
ItemLevel67	100	1		67	67					1	307	item-level		67	67										char	jewl											0	0
ItemLevel68	100	1		68	68					1	307	item-level		68	68										char	jewl											0	0
ItemLevel69	100	1		69	69					1	307	item-level		69	69										char	jewl											0	0
ItemLevel70	100	1		70	70					1	307	item-level		70	70										char	jewl											0	0
ItemLevel71	100	1		71	71					1	307	item-level		71	71										char	jewl											0	0
ItemLevel72	100	1		72	72					1	307	item-level		72	72										char	jewl											0	0
ItemLevel73	100	1		73	73					1	307	item-level		73	73										char	jewl											0	0
ItemLevel74	100	1		74	74					1	307	item-level		74	74										char	jewl											0	0
ItemLevel75	100	1		75	75					1	307	item-level		75	75										char	jewl											0	0
ItemLevel76	100	1		76	76					1	307	item-level		76	76										char	jewl											0	0
ItemLevel77	100	1		77	77					1	307	item-level		77	77										char	jewl											0	0
ItemLevel78	100	1		78	78					1	307	item-level		78	78										char	jewl											0	0
ItemLevel79	100	1		79	79					1	307	item-level		79	79										char	jewl											0	0
ItemLevel80	100	1		80	80					1	307	item-level		80	80										char	jewl											0	0
ItemLevel81	100	1		81	81					1	307	item-level		81	81										char	jewl											0	0
ItemLevel82	100	1		82	82					1	307	item-level		82	82										char	jewl											0	0
ItemLevel83	100	1		83	83					1	307	item-level		83	83										char	jewl											0	0
ItemLevel84	100	1		84	84					1	307	item-level		84	84										char	jewl											0	0
ItemLevel85	100	1		85	85					1	307	item-level		85	85										char	jewl											0	0
ItemLevel86	100	1		86	86					1	307	item-level		86	86										char	jewl											0	0
ItemLevel87	100	1		87	87					1	307	item-level		87	87										char	jewl											0	0
ItemLevel88	100	1		88	88					1	307	item-level		88	88										char	jewl											0	0
ItemLevel89	100	1		89	89					1	307	item-level		89	89										char	jewl											0	0
ItemLevel90	100	1		90	90					1	307	item-level		90	90										char	jewl											0	0
ItemLevel91	100	1		91	91					1	307	item-level		91	91										char	jewl											0	0
ItemLevel92	100	1		92	92					1	307	item-level		92	92										char	jewl											0	0
ItemLevel93	100	1		93	93					1	307	item-level		93	93										char	jewl											0	0
ItemLevel94	100	1		94	94					1	307	item-level		94	94										char	jewl											0	0
ItemLevel95	100	1		95	95					1	307	item-level		95	95										char	jewl											0	0
ItemLevel96	100	1		96	96					1	307	item-level		96	96										char	jewl											0	0
ItemLevel97	100	1		97	97					1	307	item-level		97	97										char	jewl											0	0
ItemLevel98	100	1		98	98					1	307	item-level		98	98										char	jewl											0	0
ItemLevel99	100	1		99	99					1	307	item-level		99	99										char	jewl											0	0
ItemLevel100	100	1		105	105					1	307	item-level		100	100										char	jewl											0	0
